record_id,address_raw,address_norm,date_submitted,est_cost,demo_cost,record_status,type_of_work
"","201 Lowell,","201 LOWELL","","","","",""
"","38 Woodcliff,","38 WOODCLIFF","","","","",""
"","67 Old","67 OLD","","","","",""
"","12 Lowell,","12 LOWELL","","","","",""
"","222 Grove,","222 GROVE","","","","",""
"","40 Radcliffe,","40 RADCLIFFE","","","","",""
"","70 Radcliffe,","70 RADCLIFFE","","","","",""
"","45 Windsor,","45 WINDSOR","","","","",""
"","52 Valley","52 VALLEY","","","","",""
"","184 Cliff Road 6 6","184 CLIFF RD 6 6","","","","",""
"","15 Valley Road 6 8","15 VALLEY RD 6 8","","","","",""
"","121 Livingston Road 6 7","121 LIVINGSTON RD 6 7","","","","",""
"","42 Cranmore Road 6 6","42 CRANMORE RD 6 6","","","","",""
"","15 Croton Street 5 6","15 CROTON ST 5 6","","","","",""
"","55 Old Farm Road 6 8","55 OLD FARM RD 6 8","","","","",""
"","108 Abbott Road 6 6","108 ABBOTT RD 6 6","","","","",""
"","9 Bellevue Road 6 6","9 BELLEVUE RD 6 6","","","","",""
"","15 Lathrop Rd 6 5","15 LATHROP RD 6 5","","","","",""
"","1 Old Farm Rd 6 4","1 OLD FARM RD 6 4","","","","",""
"","115 Woodlawn Ave 5 5","115 WOODLAWN AVE 5 5","","","","",""
"","7 Mountview Rd 6 5","7 MOUNTVIEW RD 6 5","","","","",""
"","89 Monadnock Road 6 6","89 MONADNOCK RD 6 6","","","","",""
"","11 Falmouth Rd 6 7","11 FALMOUTH RD 6 7","","","","",""
"","55 Ridge Hill Farm Rd 5 5","55 RIDGE HILL FARM RD 5 5","","","","",""
"","31 Cranmore Road 6 5","31 CRANMORE RD 6 5","","","","",""
"","149 Benvenue 5 6","149 BENVENUE 5 6","","","","",""
"","236 Grove Street 6 7","236 GROVE ST 6 7","","","","",""
"","120 Dover Road 6 6","120 DOVER RD 6 6","","","","",""
"","26 Yarmouth Rd 6 6","26 YARMOUTH RD 6 6","","","","",""
"","37 Cypress Road 6 6","37 CYPRESS RD 6 6","","","","",""
"","39 Cypress Road 6 6","39 CYPRESS RD 6 6","","","","",""
"","78 Arnold Road 6 6","78 ARNOLD RD 6 6","","","","",""
"","15 Sumner Road 6 5","15 SUMNER RD 6 5","","","","",""
"","123 Abbott Road 6 6","123 ABBOTT RD 6 6","","","","",""
"","182 Bristol Rd 7 6","182 BRISTOL RD 7 6","","","","",""
"","18 Old Colony Rd 5 6","18 OLD COLONY RD 5 6","","","","",""
"","165 Cliff Rd 6 5","165 CLIFF RD 6 5","","","","",""
"","38 Old Farm Rd 6 6","38 OLD FARM RD 6 6","","","","",""
"","80 Hundreds Road 6 7","80 HUNDREDS RD 6 7","","","","",""
"","11 Greylock Rd 4 5","11 GREYLOCK RD 4 5","","","","",""
"","60 Abbott Rd 6 5","60 ABBOTT RD 6 5","","","","",""
"","51 Radcliffe Road 6 7","51 RADCLIFFE RD 6 7","","","","",""
"","36 Oakridge Rd 6 6","36 OAKRIDGE RD 6 6","","","","",""
"","56 Ledgeways 6 6","56 LEDGEWAYS 6 6","","","","",""
"","6 Southgate Road 6 6","6 SOUTHGATE RD 6 6","","","","",""
"","15 Woodcliff Rd 6 6","15 WOODCLIFF RD 6 6","","","","",""
"","17 Arden Rd 6 5","17 ARDEN RD 6 5","","","","",""
"","18 Valley Road 4 3","18 VALLEY RD 4 3","","","","",""
"","26 White Oak Road 5 4","26 WHITE OAK RD 5 4","","","","",""
"","30 Hobart Rd 7 6","30 HOBART RD 7 6","","","","",""
"","77 Forest St 5 6","77 FOREST ST 5 6","","","","",""
"","22 Suffolk Rd 7 6","22 SUFFOLK RD 7 6","","","","",""
"","76 Bristol Road 6 6","76 BRISTOL RD 6 6","","","","",""
"","117 Abbott Road 6 6","117 ABBOTT RD 6 6","","","","",""
"","15 Essex Rd 6 6","15 ESSEX RD 6 6","","","","",""
"","22 Temple Road 5 5","22 TEMPLE RD 5 5","","","","",""
"","55 Edmunds Rd 6 6","55 EDMUNDS RD 6 6","","","","",""
"","5 Sabrina Rd 7 7","5 SABRINA RD 7 7","","","","",""
"","85 Benvenue Street 6 6","85 BENVENUE ST 6 6","","","","",""
"","19 Longmeadow Rd 6 7","19 LONGMEADOW RD 6 7","","","","",""
"","6 Norwich Rd 6 7","6 NORWICH RD 6 7","","","","",""
"","91 Hundreds Road 4 5","91 HUNDREDS RD 4 5","","","","",""
"","193 Winding River Road 5 4","193 WINDING RIVER RD 5 4","","","","",""
"","241 Bristol Rd 5 6","241 BRISTOL RD 5 6","","","","",""
"","10 Lanark Road 6 3","10 LANARK RD 6 3","","","","",""
"","10 Taylor Road 7 5","10 TAYLOR RD 7 5","","","","",""
"","8 Hampshire Road 5 6","8 HAMPSHIRE RD 5 6","","","","",""
"","10 Clark Rd 6 6","10 CLARK RD 6 6","","","","",""
"","111 Livingston Rd 5 6","111 LIVINGSTON RD 5 6","","","","",""
"","22 Oakridge 5 5","22 OAKRIDGE 5 5","","","","",""
"","110 Hundreds Road 5 4","110 HUNDREDS RD 5 4","","","","",""
"","39 Temple Road 5 6","39 TEMPLE RD 5 6","","","","",""
"","78 Hundreds Road 6 7","78 HUNDREDS RD 6 7","","","","",""
"","10 Bird Hill Ave 5 5","10 BIRD HILL AVE 5 5","","","","",""
"","14 Bird Hill Ave 5 5","14 BIRD HILL AVE 5 5","","","","",""
"","17 Ravine Road 5 4","17 RAVINE RD 5 4","","","","",""
